name,address,latitude,longitude,rating,borough,shop_id,Unnamed: 0,Code,Area,Value,Code_earnings,Area_earnings,Pay_2021
Dreamtime,"14 Pierrepoint Arcade, London",51.5345842,-0.1037696,1.0,Islington,536,3843.0,E09000019,Islington,"625,000",00AU,Islington,665.6
Laura von Behr Vintage,"Canonbury Yard, Building 1, 5A, 190 New N Rd, London",51.5377403,-0.0908213,5.0,Islington,537,3843.0,E09000019,Islington,"625,000",00AU,Islington,665.6
American Vintage,"Stable St, London",51.535973,-0.126182,3.4,Camden,538,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
Collectif Camden Market,"36, Camden's Stables Market, Chalk Farm Rd, London",51.54222439999999,-0.1469208,4.7,Camden,539,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
"Camden Passage, Islington","1 Camden Psge, London",51.5346814,-0.1039732,4.3,Islington,540,3843.0,E09000019,Islington,"625,000",00AU,Islington,665.6
Vintage Clothing,"53 Chalk Farm Rd, London",51.5430371,-0.1501184,0.0,Camden,541,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
Vivien of Holloway,"294 Holloway Rd, London",51.55451430000001,-0.1142869,4.4,Islington,542,3843.0,E09000019,Islington,"625,000",00AU,Islington,665.6
Camden Retro Signs,"8A, The Stables Market, PADDOCK LANE, Chalk Farm Rd, London",51.5420455,-0.1469688,5.0,Camden,543,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
Seconda Mano - Clothing Agency,"114 Upper St, London",51.5381916,-0.1026253,4.0,Islington,544,3843.0,E09000019,Islington,"625,000",00AU,Islington,665.6
rollos vintage furniture,"391 Archway Rd, London",51.5783701,-0.1490951,5.0,Haringey,545,3838.0,E09000014,Haringey,"487,500",00AP,Haringey,542.6
Vintage Concept Store,"658 Holloway Rd, London",51.56258039999999,-0.1263506,0.0,Islington,546,3843.0,E09000019,Islington,"625,000",00AU,Islington,665.6
Leos boutique uk clothing popup stall,"Pierrepoint Arcade, Camden Psge, London",51.5355171,-0.1032303,5.0,Islington,547,3843.0,E09000019,Islington,"625,000",00AU,Islington,665.6
House of Modern Vintage,"Wightman Rd, London",51.5793317,-0.1041108,4.9,Haringey,548,3838.0,E09000014,Haringey,"487,500",00AP,Haringey,542.6
Camden Thrift Store,"51 Chalk Farm Rd, London",51.543116,-0.1494112,4.5,Camden,549,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
Gonnermann,"408-410 Archway Rd, London",51.5766188,-0.1441633,4.9,Haringey,550,3838.0,E09000014,Haringey,"487,500",00AP,Haringey,542.6
Aladdin's Vintage Furniture & Cafe,"1 Hazellville Rd, London",51.5695455,-0.1243871,4.7,Islington,551,3843.0,E09000019,Islington,"625,000",00AU,Islington,665.6
